,_fivetran_id,day,follower_gains_organic_follower_gain,follower_gains_paid_follower_gain,organization_entity,_fivetran_synced
121,QDsGQarr31kqQk29u8TzEa+JWPQ=,2021-09-15 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.040000+00:00
122,0Z/7jdmmZxsI2my+FEeK9vEKU1I=,2022-08-02 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:22.093000+00:00
123,oMR2qCCax+cxhs8PYoj89ecE90o=,2022-06-11 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:21.898000+00:00
124,F7ET1OiZ6pl/1iO6Tx5e0og1Y+I=,2022-06-01 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:40.219000+00:00
125,1drKQ01JJ7BWdU2Ib+1cMtUlDx4=,2021-09-30 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.705000+00:00
126,Jk+FVG9yoQCzcwVCrXwebPVVYfg=,2022-03-27 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.425000+00:00
127,oWfH9j3ZwIryAmk4h/oY3isgVrM=,2021-10-02 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:19.893000+00:00
128,TliCUaBm5xRq5/Pm2x1qnzVxySw=,2021-12-05 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:20.233000+00:00
129,ENt0Rf6zq4vW5pQApUqj2gNJghs=,2021-12-08 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.686000+00:00
130,G1hlZ/YQwNK94sNlN5xjl1YelBc=,2022-03-23 00:00:00+00:00,24,0,urn:li:organization:11841037,2022-08-08 10:42:21.133000+00:00
131,YOrKcsVgxMrJ12DjzItD3tUWz2Q=,2021-10-24 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.111000+00:00
132,p6qd2MJQTvzYIR4+X8DL88kjERs=,2021-09-02 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:06.863000+00:00
133,cdsdVQuyd+3miUpGieMiidkPaTg=,2022-03-12 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:21.124000+00:00
134,S/A1jEoP6hJlBuebpumWIU1NqDI=,2022-06-15 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:40.378000+00:00
135,lA/pjxm2gxKIDVw43gTaadLH6yU=,2022-04-08 00:00:00+00:00,4,0,urn:li:organization:11841037,2022-08-08 10:42:21.297000+00:00
136,GdfRtHKF4ArQHL7+NES8yXBmI0o=,2021-10-16 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.107000+00:00
137,p245s/vWFR6stThvfoCQE+OSLrw=,2021-09-28 00:00:00+00:00,11,0,urn:li:organization:11841037,2022-08-08 10:42:19.890000+00:00
138,zm8F5HxbkXVEiS7up71AkMjZ4PA=,2022-06-05 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:21.894000+00:00
139,aT7ZRuv3UGR2CVtuP6jwj2gzF6U=,2021-10-14 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.107000+00:00
140,VF9qCfBpeUaHSXC6N013eoc8flU=,2021-08-29 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:26.763000+00:00
141,ig3CDP9I0kqeb3uVNpFOnAip1Pw=,2022-04-12 00:00:00+00:00,4,0,urn:li:organization:11841037,2022-08-08 10:42:21.300000+00:00
142,Wu75t8SESXTITvItFTp0YoE2dEo=,2021-08-10 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.530000+00:00
143,vUwa+EcByj5iLQwudugNmidB8QM=,2021-12-05 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.466000+00:00
144,9eGDPJizdubtP4NLovhhe+VKpmc=,2022-01-21 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:28.082000+00:00
145,U8hAjZxugP8xfDTtWGrLIBPKY8I=,2021-08-26 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:26.762000+00:00
146,MRlhkFrYyKQgVAe5sjGagoJLVug=,2021-09-23 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.703000+00:00
147,qZ5RStFTnmwmeM4pgxDh+OAiWbw=,2022-01-08 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.037000+00:00
148,sei4oRCb6R0rlf5esTcoPuXTb2w=,2022-02-01 00:00:00+00:00,1,0,urn:li:organization:78306774,2022-08-08 10:42:28.086000+00:00
149,Ai530EGsVt1YeSF7Tkm011sqkyk=,2022-07-11 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:40.557000+00:00
150,3ijeteqwGFZXjjfrZaIaOZzRa58=,2021-11-29 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.269000+00:00
151,m/GacF+vMfjTjr6iUgUgNYYw/Xw=,2021-09-13 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.699000+00:00
152,R2L703f1KM/+5XEvrfPjDXpMqyA=,2022-02-22 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:28.251000+00:00
153,oTZHaAYXLvpoJ0//d5fg0V4bNnw=,2022-01-07 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.036000+00:00
154,L1PoIE2Vyrz+hFGZHrjnBJhzsvQ=,2021-08-10 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:26.755000+00:00
155,lKow/POBzpjbw/Ss8U5j1doFlrU=,2021-08-17 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.534000+00:00
156,8Ktzj2Ul9e6J3y23xWaOJayn7EU=,2021-09-15 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.699000+00:00
157,tc1kdt/pobfK3botdTYlLI/MBsc=,2021-10-05 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.707000+00:00
158,iDq5CVDsLy2WbgJseCpKV6naKqY=,2022-05-27 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:28.783000+00:00
159,n2YUKfitG6MKiDc8vNBo/ftQTUE=,2021-10-17 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.891000+00:00
160,gU3PFnVuXer7KyQnp2FsUZoMBfQ=,2021-12-30 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.649000+00:00
161,jf1+H/aXaZ2Qgc7GzSUVtV3wh/I=,2022-02-24 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.650000+00:00
