,_fivetran_id,day,engagement,unique_impressions_count,share_count,share_mentions_count,click_count,like_count,impression_count,comment_count,comment_mentions_count,organization_entity,_fivetran_synced
1409,olAnFcO8asOpEDDIZX/YCb/Ya20=,2021-08-10 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.039000+00:00
1410,tNfRmgTutV5vjRfplkFYlWqKqPw=,2021-12-19 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.732000+00:00
1411,pz4X99uYpR5M+8Ii9c9wUCLS5+E=,2021-09-09 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:29.752000+00:00
1412,754S5qSZhkAeS5ihxunmYI4q33U=,2022-08-01 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:32.275000+00:00
1413,gLYkg5UgNTAowkm7EsrAHQ8H0mQ=,2021-11-03 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.580000+00:00
1414,Rbir+Gd+xFOIAXuMr7fM57i4POM=,2022-05-18 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.825000+00:00
1415,JsttiJhN5y+y8Q3ZRvps3psTyL8=,2022-04-10 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:43.035000+00:00
1416,mBgG/UYeJ5Rac4KN9z8V1FnicBQ=,2021-12-16 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.942000+00:00
1417,YiMv8/spCZ2U1ppqv5uET7qC9X0=,2022-03-10 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.392000+00:00
1418,owfuj9UfyZeC8gvI13aMdyvDos4=,2022-05-25 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.829000+00:00
1419,fP+YWTBptU+LA+rS54iLMDAmydM=,2022-06-02 00:00:00+00:00,0.022222222222222223,9,0,,1,0,45,0,,urn:li:organization:11841037,2022-08-08 10:42:25.305000+00:00
1420,mhZboAlAjKovu8etpmh9UGS34Bo=,2021-08-08 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:15.896000+00:00
1421,PCZALB/ShSjHT0kPLaPn+dChCeU=,2022-04-24 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:11.832000+00:00
1422,CDqRhSKqZSvukqxKVYNRlbtHVts=,2021-12-26 00:00:00+00:00,0.07692307692307693,10,0,,1,0,13,0,,urn:li:organization:11841037,2022-08-08 10:42:23.798000+00:00
1423,urv4LRyp0qyC/lfPyYMtSgq1700=,2021-09-09 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.364000+00:00
1424,JuwbhrWPEmbIvs0Qvc07lYIy0jE=,2021-11-26 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.537000+00:00
1425,IVqRfvqQ5YrdhHuA5CYAmWPYjBw=,2021-08-30 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:15.917000+00:00
1426,/EX+MGZB3r4uLdWNscignQ8rsck=,2021-08-19 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:29.542000+00:00
1427,a+/suXbrcfEV7ARJt6MHxYgGKpQ=,2022-03-15 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:31.200000+00:00
1428,XnN0bgWGJetX/r/ON/WvcuqZ99g=,2021-10-23 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.576000+00:00
1429,UA/r4TZk8qhpyzOoAHpNfbPzRDM=,2022-01-20 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.956000+00:00
1430,j33IWqG+MuU84+Z5PRqlPzUs4CM=,2022-06-04 00:00:00+00:00,0.0,7,0,,0,0,16,0,,urn:li:organization:11841037,2022-08-08 10:42:25.521000+00:00
