,_fivetran_id,id,date,email_contacts,follower_count,get_directions_clicks,phone_call_clicks,profile_views,text_message_clicks,website_clicks,impressions,impressions_7_d,impressions_28_d,reach,reach_7_d,reach_28_d,_fivetran_synced
78,ahQD+sDlqY/EZOXj+47aGEwmAzw=,17841413694138154,2022-02-17,0,,0,0,0,0,0,4,38,74,4,28,47,2022-08-08 10:43:28.240000+00:00
79,h/grBybq9IwlM1dphw/mVpBj5Sw=,17841413694138154,2022-05-30,0,,0,0,0,0,0,1,11,194,1,6,73,2022-08-08 10:43:22.539000+00:00
80,SN6WsICwSH2JhR1VJCvoAKaxgyk=,17841413694138154,2022-04-03,0,,0,0,0,0,0,12,83,98,12,76,83,2022-08-08 10:43:26.273000+00:00
81,bOez4COuDh/N1yf0bcRuKhauvLA=,17841413694138154,2022-04-14,0,,0,0,0,0,0,1,79,194,1,41,113,2022-08-08 10:43:24.419000+00:00
82,aBOB8ECoXNkFbtYA2g+CV5rGnk4=,17841413694138154,2022-04-17,0,,0,0,0,0,0,1,79,193,1,41,112,2022-08-08 10:43:24.420000+00:00
83,vpLW7FDqy57T4Q+5paahyW7sBaY=,17841413694138154,2022-04-12,0,,0,0,0,0,0,46,75,188,31,41,113,2022-08-08 10:43:24.419000+00:00
84,HbJ5frgj4OjopcrK90WrhZjOa9s=,17841413694138154,2022-03-30,0,,0,0,0,0,0,1,48,72,1,48,60,2022-08-08 10:43:26.272000+00:00
85,McV41n+q54ZX3IgxH9lRQTTbTx0=,17841413694138154,2022-07-01,0,,0,0,0,0,0,0,102,107,0,2,6,2022-08-08 10:43:20.406000+00:00
86,ahCJhFJlIBdbqLqLIQMAS8uh6zU=,17841413694138154,2022-07-05,0,,0,0,0,0,0,1,102,107,1,2,6,2022-08-08 10:43:20.407000+00:00
87,UB7TMHyF542B2zXu/jXwob0KqQw=,17841413694138154,2022-03-04,0,,0,0,0,0,0,3,19,75,3,15,45,2022-08-08 10:43:28.244000+00:00
88,R5Poh+d2e89D5Ljj/MMbmhGKcs4=,17841413694138154,2022-02-24,0,,0,0,0,0,0,1,10,77,1,4,45,2022-08-08 10:43:28.242000+00:00
89,HbCu8Jm2MQwfvs6fb++KYmDBDRo=,17841413694138154,2022-06-11,0,,0,0,0,0,0,0,1,113,0,1,53,2022-08-08 10:43:20.398000+00:00
90,aPAeir410cRdGibF2lbTtIuPICI=,17841413694138154,2022-04-28,0,,0,0,0,0,0,1,30,176,1,24,92,2022-08-08 10:43:24.425000+00:00
91,degutXWes+jHGHb5eV1JT1s3oBQ=,17841413694138154,2022-06-01,0,,0,0,0,0,0,0,7,192,0,2,72,2022-08-08 10:43:22.540000+00:00
92,yghgh2wavp9EoMT46LqvKbLtWv8=,17841413694138154,2022-04-23,0,,0,0,0,0,0,0,3,194,0,3,113,2022-08-08 10:43:24.423000+00:00
93,I2JUtAO5VjF45UoMV0IkJHsYgrI=,17841413694138154,2022-04-29,0,,0,0,4,0,0,33,63,209,12,32,100,2022-08-08 10:43:24.425000+00:00
94,Yi3jp9KgbedmnU8sTXsh8jMtH5Q=,17841413694138154,2022-02-22,0,,0,0,1,0,0,4,16,77,1,10,45,2022-08-08 10:43:28.241000+00:00
95,PMAtZi0/o2c1yJ6O+sTxGU3TI9k=,17841413694138154,2022-04-01,0,,0,0,0,0,0,0,48,64,0,48,56,2022-08-08 10:43:26.272000+00:00
96,+UvFyT9OEAFup3k77eakGxfSVE0=,17841413694138154,2022-03-03,0,,0,0,0,0,0,6,20,72,3,14,43,2022-08-08 10:43:28.244000+00:00
97,HMs2gs2PxWZhIAY0hlS1eCvs1NA=,17841413694138154,2022-06-12,0,,0,0,0,0,0,0,1,112,0,1,52,2022-08-08 10:43:20.398000+00:00
