,_fivetran_id,id,like_count,comment_count,video_photo_impressions,video_photo_reach,video_photo_saved,video_views,carousel_album_engagement,carousel_album_impressions,carousel_album_reach,carousel_album_saved,carousel_album_video_views,story_impressions,story_reach,reel_reach,reel_saved,video_photo_engagement,story_exits,story_replies,story_taps_back,story_taps_forward,reel_comments,reel_likes,reel_plays,reel_shares,reel_total_interactions,_fivetran_synced
26,8fJ10/Z/G/32Fqcyx3b6tlEFuH4=,17953675960764505,1,1,38.0,38.0,0,11.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:04.459000+00:00
27,nJQvSfdFiyf6Gq3+hUUSrXX0jZ8=,18184142593170145,1,0,21.0,19.0,0,4.0,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.442000+00:00
28,zeLJRYFsJcHeywYzg7LJJRKfa8w=,17903567654297495,1,0,14.0,14.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.455000+00:00
29,FIkbVMaoTRCVnQOs9XHDcwrT+nA=,17884939474853940,4,0,50.0,48.0,0,,,,,,,,,,,4.0,,,,,,,,,,2022-08-08 10:43:09.845000+00:00
30,bYg7hnImV0JEB9MbJ/oQ6j4qBQM=,18083509141133612,4,0,0.0,0.0,0,0.0,,,,,,,,,,4.0,,,,,,,,,,2022-08-08 10:43:18.270000+00:00
31,KW+jfqdLTOK6umGshxowWWLKBrM=,17883817843786013,0,0,65.0,65.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:09.827000+00:00
32,I6mbW+EHOcw/6PkA7yaMfz7qQ1Q=,17850021419004038,3,1,,,1,0.0,5.0,5.0,5.0,1.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:13.506000+00:00
33,kgFjBjklz5lKwh1ng7mcZAlrofQ=,18146641111029168,1,0,6.0,5.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:13.528000+00:00
34,s4scfemiq57MKyiWaiXF/Mv7AOs=,18152509927008820,1,0,19.0,17.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:13.499000+00:00
35,iK9mD1D6jBFv5b0Ar4RUhXpDvzs=,17974187854419239,3,0,33.0,33.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:04.472000+00:00
